created_at,account_id,utm_source,utm_medium,utm_campaign,utm_content,utm_term,m_clicks,m_cost
2022-08-13,xo-for-client-ya,yandex,cpc,48306450,8404701661,,9.0,371.82000000000005
2022-08-13,xo-for-client-ya,yandex,cpc,48306450,8404701663,,2.0,13.860000000000001
2022-08-13,xo-for-client-ya,yandex,cpc,48306450,8404701664,,2.0,32.124
2022-08-13,xo-for-client-ya,yandex,cpc,48306450,8404701665,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306487,8404707409,,1.0,23.784
2022-08-13,xo-for-client-ya,yandex,cpc,48306487,8404707410,,1.0,23.004
2022-08-13,xo-for-client-ya,yandex,cpc,48306487,8813469519,,6.0,149.604
2022-08-13,xo-for-client-ya,yandex,cpc,48306487,8813469520,,1.0,13.356000000000002
2022-08-13,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306487,8813469522,,1.0,8.748000000000001
2022-08-13,xo-for-client-ya,yandex,cpc,48306494,8404707871,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306494,8404707872,,1.0,14.808
2022-08-13,xo-for-client-ya,yandex,cpc,48306494,8813466152,,1.0,40.572
2022-08-13,xo-for-client-ya,yandex,cpc,48306494,8813466153,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306494,8813466154,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306518,8404708311,,0.0,0.0
2022-09-12,xo-for-client-ya,yandex,cpc,48306435,8404700756,,1.0,61.14
2022-09-12,xo-for-client-ya,yandex,cpc,48306435,8404700757,,1.0,23.568
2022-09-12,xo-for-client-ya,yandex,cpc,48306435,8813476161,,7.0,208.18800000000002
2022-09-12,xo-for-client-ya,yandex,cpc,48306435,8813476162,,5.0,91.872
2022-09-12,xo-for-client-ya,yandex,cpc,48306435,8813476164,,7.0,198.072
2022-09-12,xo-for-client-ya,yandex,cpc,48306450,8404701659,,20.0,697.7760000000001
2022-09-12,xo-for-client-ya,yandex,cpc,48306450,8404701661,,14.0,385.16400000000004
2022-09-12,xo-for-client-ya,yandex,cpc,48306450,8404701663,,1.0,16.188000000000002
2022-09-12,xo-for-client-ya,yandex,cpc,48306450,8404701664,,8.0,280.104
2022-09-12,xo-for-client-ya,yandex,cpc,48306450,8404701665,,17.0,430.008
2022-09-12,xo-for-client-ya,yandex,cpc,48306473,8404704716,,2.0,49.26
2022-09-12,xo-for-client-ya,yandex,cpc,48306473,8404704717,,0.0,0.0
2022-09-12,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-09-12,xo-for-client-ya,yandex,cpc,48306473,8813432766,,0.0,0.0
2022-09-12,xo-for-client-ya,yandex,cpc,48306487,8404707409,,1.0,28.308
2022-09-12,xo-for-client-ya,yandex,cpc,48306487,8404707410,,1.0,25.848
2022-09-12,xo-for-client-ya,yandex,cpc,48306487,8813469519,,7.0,270.0
2022-09-12,xo-for-client-ya,yandex,cpc,48306487,8813469520,,1.0,64.572
2022-09-12,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-09-12,xo-for-client-ya,yandex,cpc,48306487,8813469522,,1.0,13.404
2022-09-12,xo-for-client-ya,yandex,cpc,48306494,8813466152,,0.0,0.0
2022-09-12,xo-for-client-ya,yandex,cpc,48306494,8813466153,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306435,8404700756,,1.0,20.171999999999997
2022-08-14,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306435,8813476161,,5.0,103.272
2022-08-14,xo-for-client-ya,yandex,cpc,48306435,8813476162,,5.0,106.908
2022-08-14,xo-for-client-ya,yandex,cpc,48306435,8813476163,,2.0,12.372
2022-08-14,xo-for-client-ya,yandex,cpc,48306435,8813476164,,1.0,12.084
2022-08-14,xo-for-client-ya,yandex,cpc,48306450,8404701659,,3.0,53.352000000000004
2022-08-14,xo-for-client-ya,yandex,cpc,48306450,8404701661,,6.0,179.1
2022-08-14,xo-for-client-ya,yandex,cpc,48306450,8404701663,,2.0,69.78
2022-08-14,xo-for-client-ya,yandex,cpc,48306450,8404701664,,4.0,71.50800000000001
2022-08-14,xo-for-client-ya,yandex,cpc,48306450,8404701665,,1.0,8.856
2022-08-14,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306487,8404707410,,4.0,108.636
2022-08-14,xo-for-client-ya,yandex,cpc,48306487,8813469519,,10.0,192.228
2022-08-14,xo-for-client-ya,yandex,cpc,48306487,8813469520,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306487,8813469521,,1.0,36.96
2022-08-14,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306494,8404707871,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306494,8404707872,,3.0,73.25999999999999
2022-08-14,xo-for-client-ya,yandex,cpc,48306494,8813466151,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306494,8813466152,,0.0,0.0
2022-08-14,xo-for-client-ya,yandex,cpc,48306494,8813466153,,1.0,10.824
2022-08-14,xo-for-client-ya,yandex,cpc,48306494,8813466154,,0.0,0.0
